make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
PONTIAC,166014.0,8.006367567650246,SEDAN,FWD,Automatic,Gas,5.0,1,15
ACURA,97902.0,10.126191007021934,SUV,AWD,Automatic,Premium Unleaded,7.0,0,6
INFINITI,108000.0,8.764053269347762,SEDAN,AWD,Automatic,Gas,5.0,1,17
FORD,186750.0,10.428837190318218,TRUCK,AWD,Automatic,Gas,5.0,0,6
HONDA,124394.0,9.766693701018134,SUV,AWD,Automatic,Gas,5.0,0,7
KIA,127000.0,8.985695694535705,SUV,FWD,Automatic,Gas,5.0,0,10
MAZDA,52407.0,10.239781201782993,SUV,AWD,Automatic,Gas,5.0,0,4
HONDA,5671.0,10.338511462885837,HATCHBACK,FWD,CVT,Gas,5.0,0,2
GMC,29451.0,10.976782033219948,TRUCK,AWD,Automatic,Gas,5.0,1,3
CHEVROLET,56201.0,9.680031452383618,SEDAN,FWD,Automatic,Gas,5.0,0,4
BMW,69839.0,10.544814984366276,SEDAN,AWD,Automatic,Gas,5.0,0,5
HONDA,202684.0,8.922658299524402,SUV,AWD,Automatic,Gas,5.0,0,8
RAM,48259.0,10.877103351029552,REGULAR CAB,AWD,Automatic,Gas,5.0,0,3
FORD,57000.0,9.464982590349765,COUPE,RWD,Automatic,Gas,4.0,1,54
INFINITI,104285.0,9.866875434039397,SUV,AWD,CVT,Gas,7.0,0,7
MERCEDES-BENZ,19400.0,10.77662023009248,SEDAN,RWD,Automatic,Gas,5.0,0,9
TOYOTA,37870.0,10.896554123212333,TRUCK,AWD,Automatic,Gas,5.0,0,3
LEXUS,97500.0,10.126591103050316,CONVERTIBLE,RWD,Automatic,Gas,4.0,1,17
MAZDA,2533.0,10.645401087458245,CONVERTIBLE,RWD,Automatic,Gas,4.0,0,2
TOYOTA,36001.0,9.946930110378965,SEDAN,FWD,Automatic,Gas,5.0,0,2
MAZDA,39755.0,9.64212278840172,SEDAN,FWD,Manual,Gas,5.0,0,4
